 Total solar irradiance (W/m2)
 -----------------------------
    year   365-day mean
  1977.448  1360.7979
  1977.450  1360.8000
  1977.453  1360.8021
  1977.456  1360.8046
  1977.458  1360.8063
  1977.461  1360.8081
  1977.464  1360.8102
  1977.466  1360.8109
  1977.469  1360.8118
  1977.472  1360.8126
  1977.474  1360.8137
  1977.477  1360.8148
  1977.480  1360.8149
  1977.482  1360.8156
  1977.485  1360.8156
  1977.488  1360.8156
  1977.490  1360.8156
  1977.493  1360.8156
  1977.496  1360.8156
  1977.501  1360.8162
  1977.504  1360.8162
  1977.507  1360.8162
  1977.509  1360.8171
  1977.512  1360.8182
  1977.515  1360.8196
  1977.517  1360.8213
  1977.520  1360.8235
  1977.523  1360.8258
  1977.526  1360.8280
  1977.528  1360.8280
  1977.531  1360.8280
  1977.534  1360.8280
  1977.536  1360.8300
  1977.539  1360.8304
  1977.542  1360.8309
  1977.544  1360.8315
  1977.547  1360.8323
  1977.550  1360.8323
  1977.552  1360.8323
  1977.555  1360.8328
  1977.558  1360.8328
  1977.560  1360.8328
  1977.563  1360.8336
  1977.566  1360.8347
  1977.568  1360.8351
  1977.571  1360.8351
  1977.574  1360.8362
  1977.577  1360.8362
  1977.579  1360.8362
  1977.582  1360.8362
  1977.585  1360.8362
  1977.587  1360.8364
  1977.590  1360.8364
  1977.593  1360.8374
  1977.595  1360.8373
  1977.598  1360.8373
  1977.601  1360.8379
  1977.604  1360.8391
  1977.606  1360.8390
  1977.609  1360.8374
  1977.612  1360.8352
  1977.614  1360.8318
  1977.617  1360.8280
  1977.620  1360.8245
  1977.622  1360.8218
  1977.625  1360.8201
  1977.628  1360.8188
  1977.630  1360.8196
  1977.633  1360.8197
  1977.636  1360.8202
  1977.638  1360.8203
  1977.641  1360.8212
  1977.644  1360.8224
  1977.646  1360.8235
  1977.649  1360.8246
  1977.652  1360.8270
  1977.655  1360.8270
  1977.657  1360.8269
  1977.660  1360.8269
  1977.663  1360.8269
  1977.665  1360.8269
  1977.668  1360.8273
  1977.671  1360.8274
  1977.673  1360.8274
  1977.676  1360.8274
  1977.679  1360.8274
  1977.681  1360.8281
  1977.684  1360.8282
  1977.687  1360.8284
  1977.689  1360.8281
  1977.692  1360.8279
