Global mean surface temperature (C)
relative to 1951-1980 mean
-----------------------------------
 year    monthly_mean
1923.375   -0.3180
1923.458   -0.2193
1923.542   -0.2749
1923.625   -0.2777
1923.708   -0.2584
1923.792   -0.1106
1923.875    0.0472
1923.958   -0.0404
1924.042   -0.2319
1924.125   -0.2605
1924.208   -0.1099
1924.292   -0.3419
1924.375   -0.1821
1924.458   -0.2634
1924.542   -0.2552
1924.625   -0.3374
1924.708   -0.2881
1924.792   -0.3459
1924.875   -0.2167
1924.958   -0.4139
1925.042   -0.3250
1925.125   -0.3304
1925.208   -0.2108
1925.292   -0.2436
1925.375   -0.2886
1925.458   -0.3202
1925.542   -0.2815
1925.625   -0.1725
1925.708   -0.1263
1925.792   -0.1604
1925.875    0.0474
1925.958    0.1098
1926.042    0.2051
1926.125    0.0835
1926.208    0.1311
1926.292   -0.1361
1926.375   -0.2338
1926.458   -0.2381
1926.542   -0.1974
1926.625   -0.0983
1926.708   -0.1020
1926.792   -0.1078
1926.875   -0.0549
1926.958   -0.3028
1927.042   -0.2744
1927.125   -0.2016
1927.208   -0.3703
1927.292   -0.2973
1927.375   -0.2399
1927.458   -0.2666
1927.542   -0.1277
1927.625   -0.1795
1927.708   -0.0479
1927.792   -0.0042
1927.875   -0.0285
1927.958   -0.3503
1928.042   -0.0245
1928.125   -0.1137
1928.208   -0.2762
1928.292   -0.2774
1928.375   -0.2949
1928.458   -0.4060
1928.542   -0.2036
1928.625   -0.2445
1928.708   -0.1879
1928.792   -0.1781
1928.875   -0.0897
1928.958   -0.1967
1929.042   -0.4615
1929.125   -0.5913
1929.208   -0.3219
1929.292   -0.4033
1929.375   -0.3814
1929.458   -0.4271
1929.542   -0.3198
1929.625   -0.2825
1929.708   -0.2256
1929.792   -0.1405
1929.875   -0.1354
1929.958   -0.5426
1930.042   -0.2884
1930.125   -0.2367
1930.208   -0.0776
1930.292   -0.2524
1930.375   -0.2426
1930.458   -0.1764
1930.542   -0.1552
1930.625   -0.0938
1930.708   -0.1000
1930.792   -0.0801
1930.875    0.1403
1930.958   -0.0845
1931.042   -0.1033
1931.125   -0.2108
1931.208   -0.0533
1931.292   -0.2073
1931.375   -0.2137
1931.458   -0.0534
1931.542    0.0115
1931.625   -0.0032
1931.708   -0.0577
1931.792    0.0027
1931.875   -0.1179
1931.958   -0.0979
1932.042    0.1422
1932.125   -0.1703
1932.208   -0.1932
1932.292   -0.0713
1932.375   -0.2137
1932.458   -0.2901
1932.542   -0.2288
1932.625   -0.2311
1932.708   -0.1109
1932.792   -0.0918
1932.875   -0.2537
1932.958   -0.2135
1933.042   -0.3388
1933.125   -0.3165
1933.208   -0.2761
1933.292   -0.2276
1933.375   -0.2451
1933.458   -0.3119
1933.542   -0.1916
1933.625   -0.2202
1933.708   -0.2557
1933.792   -0.2286
1933.875   -0.3071
1933.958   -0.4597
1934.042   -0.2614
1934.125   -0.0342
1934.208   -0.2961
1934.292   -0.2569
1934.375   -0.0980
1934.458   -0.1280
1934.542   -0.0985
1934.625   -0.0863
1934.708   -0.1422
1934.792   -0.1012
1934.875   -0.0017
1934.958   -0.0783
1935.042   -0.3615
1935.125    0.1255
1935.208   -0.1203
1935.292   -0.3371
1935.375   -0.2491
1935.458   -0.2159
1935.542   -0.1822
1935.625   -0.1583
1935.708   -0.1561
1935.792   -0.0745
1935.875   -0.2790
1935.958   -0.2106
1936.042   -0.2821
1936.125   -0.3846
1936.208   -0.2234
1936.292   -0.1956
1936.375   -0.1558
1936.458   -0.1788
1936.542   -0.0498
1936.625   -0.1071
1936.708   -0.0500
1936.792   -0.0246
1936.875   -0.0366
1936.958   -0.0282
1937.042   -0.1000
1937.125    0.0669
1937.208   -0.1574
1937.292   -0.1639
1937.375   -0.0604
1937.458   -0.0661
1937.542   -0.0376
1937.625    0.0407
1937.708    0.1510
1937.792    0.1022
1937.875    0.1023
1937.958   -0.1114
1938.042    0.0041
1938.125   -0.0292
1938.208    0.0638
1938.292    0.0551
1938.375   -0.0664
1938.458   -0.1621
1938.542   -0.0775
1938.625   -0.0353
1938.708    0.0407
1938.792    0.1174
1938.875    0.0213
1938.958   -0.2525
1939.042   -0.1187
1939.125   -0.1115
1939.208   -0.1904
1939.292   -0.1114
1939.375   -0.0621
1939.458   -0.0734
1939.542   -0.0466
1939.625   -0.0371
1939.708    0.0100
1939.792   -0.0247
1939.875    0.0641
1939.958    0.4052
1940.042   -0.1465
1940.125    0.0646
1940.208    0.1244
1940.292    0.1680
1940.375    0.0616
1940.458    0.0576
1940.542    0.1097
1940.625    0.0163
1940.708    0.1258
1940.792    0.0820
1940.875    0.1310
1940.958    0.1976
1941.042    0.1322
1941.125    0.2348
1941.208    0.0626
1941.292    0.1133
1941.375    0.1069
1941.458    0.0474
1941.542    0.1547
1941.625    0.1472
1941.708    0.0278
1941.792    0.2504
1941.875    0.1273
1941.958    0.1462
1942.042    0.2638
1942.125    0.0500
1942.208    0.1329
1942.292    0.1456
1942.375    0.1447
1942.458    0.1112
1942.542    0.0215
1942.625   -0.0246
1942.708   -0.0013
1942.792    0.0688
1942.875    0.1337
1942.958    0.1177
1943.042   -0.0043
1943.125    0.2204
1943.208    0.0245
1943.292    0.1340
1943.375    0.1008
1943.458   -0.0017
1943.542    0.1435
1943.625    0.0338
1943.708    0.1156
1943.792    0.2980
1943.875    0.2571
1943.958    0.2871
1944.042    0.4138
1944.125    0.3145
1944.208    0.3402
1944.292    0.2712
1944.375    0.2637
1944.458    0.2290
1944.542    0.2289
1944.625    0.2320
1944.708    0.3139
1944.792    0.2690
1944.875    0.1224
1944.958    0.0516
1945.042    0.1386
1945.125    0.0246
1945.208    0.1138
1945.292    0.2399
1945.375    0.1021
1945.458    0.0243
1945.542    0.0721
1945.625    0.2536
1945.708    0.2199
1945.792    0.2235
1945.875    0.1052
1945.958   -0.0945
1946.042    0.1530
1946.125    0.0623
1946.208    0.0011
1946.292    0.1120
1946.375   -0.0325
1946.458   -0.1625
1946.542   -0.0855
1946.625   -0.0774
1946.708   -0.0154
1946.792   -0.0535
1946.875   -0.0156
1946.958   -0.2871
1947.042   -0.1229
1947.125   -0.0716
1947.208    0.0508
1947.292    0.0419
1947.375   -0.0618
1947.458    0.0045
1947.542   -0.0597
1947.625   -0.0817
1947.708   -0.1358
1947.792    0.0622
1947.875   -0.0041
1947.958   -0.1780
1948.042    0.0519
1948.125   -0.1295
1948.208   -0.2268
1948.292   -0.0916
1948.375    0.0822
1948.458   -0.0474
1948.542   -0.1243
1948.625   -0.0957
1948.708   -0.0977
1948.792   -0.0611
1948.875   -0.0793
1948.958   -0.2267
1949.042    0.0930
1949.125   -0.1611
1949.208   -0.0057
1949.292   -0.0734
1949.375   -0.0840
1949.458   -0.2209
1949.542   -0.1320
1949.625   -0.0775
1949.708   -0.0846
1949.792   -0.0277
1949.875   -0.0800
1949.958   -0.1925
1950.042   -0.2987
1950.125   -0.2586
1950.208   -0.0648
1950.292   -0.2101
1950.375   -0.1173
1950.458   -0.0614
1950.542   -0.0842
1950.625   -0.1735
1950.708   -0.1020
1950.792   -0.1947
1950.875   -0.3471
1950.958   -0.1989
1951.042   -0.3455
1951.125   -0.4342
1951.208   -0.1829
1951.292   -0.0987
1951.375   -0.0159
1951.458   -0.0441
1951.542    0.0030
1951.625    0.0526
1951.708    0.0771
1951.792    0.0642
1951.875    0.0006
1951.958    0.1516
1952.042    0.1608
1952.125    0.1292
1952.208   -0.0932
1952.292    0.0181
1952.375   -0.0448
1952.458   -0.0420
1952.542    0.0513
1952.625    0.0716
1952.708    0.0796
1952.792   -0.0344
1952.875   -0.1651
1952.958   -0.0144
1953.042    0.0888
1953.125    0.1571
1953.208    0.1112
1953.292    0.2036
1953.375    0.0874
1953.458    0.0792
1953.542    0.0259
1953.625    0.0821
1953.708    0.0586
1953.792    0.0485
1953.875   -0.0503
1953.958    0.0353
1954.042   -0.2812
1954.125   -0.0980
1954.208   -0.1185
1954.292   -0.1777
1954.375   -0.1926
1954.458   -0.1520
1954.542   -0.1605
1954.625   -0.1248
1954.708   -0.0655
1954.792   -0.0099
1954.875    0.0794
1954.958   -0.1783
1955.042    0.1132
1955.125   -0.2104
1955.208   -0.3563
1955.292   -0.2315
1955.375   -0.2020
1955.458   -0.0751
1955.542   -0.0891
1955.625    0.0393
1955.708   -0.1234
1955.792   -0.0471
1955.875   -0.2766
1955.958   -0.3232
1956.042   -0.1620
1956.125   -0.2489
1956.208   -0.2268
1956.292   -0.2612
1956.375   -0.2839
1956.458   -0.1475
1956.542   -0.1155
1956.625   -0.2507
1956.708   -0.2128
1956.792   -0.2391
1956.875   -0.1692
1956.958   -0.0991
1957.042   -0.1368
1957.125   -0.0523
1957.208   -0.0523
1957.292   -0.0310
1957.375    0.0789
1957.458    0.1649
1957.542    0.0128
1957.625    0.1455
1957.708    0.0648
1957.792    0.0107
1957.875    0.0736
1957.958    0.1636
1958.042    0.3941
1958.125    0.2425
1958.208    0.0973
1958.292    0.0133
1958.375    0.0856
1958.458   -0.0545
1958.542    0.0557
1958.625   -0.0562
1958.708   -0.0250
1958.792    0.0370
1958.875    0.0261
1958.958    0.0109
1959.042    0.0626
1959.125    0.0936
1959.208    0.1941
1959.292    0.1664
1959.375    0.0563
1959.458    0.0232
1959.542    0.0627
1959.625   -0.0069
1959.708   -0.0597
1959.792   -0.0866
1959.875   -0.0872
1959.958   -0.0269
1960.042   -0.0113
1960.125    0.1432
1960.208   -0.3558
1960.292   -0.1614
1960.375   -0.0743
1960.458    0.0089
1960.542   -0.0171
1960.625   -0.0026
1960.708    0.0466
1960.792    0.0723
1960.875   -0.1152
1960.958    0.1769
1961.042    0.0658
1961.125    0.1781
1961.208    0.0880
1961.292    0.1469
1961.375    0.1241
1961.458    0.1180
1961.542   -0.0291
1961.625    0.0187
1961.708    0.0540
1961.792   -0.0009
1961.875    0.0306
1961.958   -0.1457
1962.042    0.0772
1962.125    0.1427
1962.208    0.1234
1962.292    0.0510
1962.375   -0.0569
1962.458    0.0573
1962.542   -0.0212
1962.625   -0.0215
1962.708   -0.0058
1962.792   -0.0236
1962.875    0.0665
1962.958   -0.0097
1963.042   -0.0261
1963.125    0.1951
1963.208   -0.1316
1963.292   -0.0484
1963.375   -0.0913
1963.458    0.0310
1963.542    0.0816
1963.625    0.2484
1963.708    0.1985
1963.792    0.1581
1963.875    0.1572
1963.958    0.0033
1964.042   -0.0577
1964.125   -0.1171
1964.208   -0.2216
1964.292   -0.2974
1964.375   -0.2504
1964.458   -0.0691
1964.542   -0.0693
1964.625   -0.2067
1964.708   -0.2842
1964.792   -0.3017
1964.875   -0.2098
1964.958   -0.2954
1965.042   -0.0857
1965.125   -0.1703
1965.208   -0.1083
1965.292   -0.1925
1965.375   -0.1383
1965.458   -0.0785
1965.542   -0.1210
1965.625   -0.0066
1965.708   -0.1473
1965.792   -0.0411
1965.875   -0.0563
1965.958   -0.0511
1966.042   -0.1582
1966.125   -0.0014
1966.208    0.0425
1966.292   -0.1327
1966.375   -0.1024
1966.458    0.0148
1966.542    0.0841
1966.625   -0.1060
1966.708   -0.0132
1966.792   -0.1467
1966.875   -0.0220
1966.958   -0.0604
1967.042   -0.0605
1967.125   -0.1962
1967.208    0.0356
1967.292   -0.0440
1967.375    0.1392
1967.458   -0.0837
1967.542    0.0057
1967.625    0.0224
1967.708   -0.0412
1967.792    0.0654
1967.875   -0.0635
1967.958   -0.0228
1968.042   -0.2309
1968.125   -0.1468
1968.208    0.2062
1968.292   -0.0512
1968.375   -0.1029
1968.458   -0.0635
1968.542   -0.1076
1968.625   -0.1087
1968.708   -0.1839
1968.792    0.1226
1968.875   -0.0412
1968.958   -0.1363
1969.042   -0.1090
1969.125   -0.1377
1969.208    0.0033
1969.292    0.1874
1969.375    0.1991
1969.458    0.0482
1969.542   -0.0159
1969.625    0.0330
1969.708    0.1020
1969.792    0.1091
1969.875    0.1154
1969.958    0.2713
1970.042    0.0954
1970.125    0.2214
1970.208    0.0740
1970.292    0.0904
1970.375   -0.0476
1970.458   -0.0292
1970.542   -0.0417
1970.625   -0.1112
1970.708    0.1100
1970.792    0.0442
1970.875    0.0109
1970.958   -0.1348
1971.042   -0.0241
1971.125   -0.2051
1971.208   -0.1828
1971.292   -0.0941
1971.375   -0.0652
1971.458   -0.1800
1971.542   -0.1251
1971.625   -0.0357
1971.708   -0.0111
1971.792   -0.0564
1971.875   -0.0391
1971.958   -0.0834
1972.042   -0.2394
1972.125   -0.1714
1972.208    0.0194
1972.292   -0.0119
1972.375   -0.0243
1972.458    0.0408
1972.542    0.0262
1972.625    0.1841
1972.708    0.0348
1972.792    0.0886
1972.875    0.0309
1972.958    0.1775
1973.042    0.2700
1973.125    0.2977
1973.208    0.2498
1973.292    0.2503
1973.375    0.2537
1973.458    0.1563
1973.542    0.0885
1973.625    0.0171
1973.708    0.0611
1973.792    0.1130
1973.875    0.0557
1973.958   -0.0627
1974.042   -0.1501
1974.125   -0.2836
1974.208   -0.0557
1974.292   -0.1038
1974.375   -0.0112
1974.458   -0.0546
1974.542   -0.0354
1974.625    0.1121
1974.708   -0.1282
1974.792   -0.0764
1974.875   -0.0743
1974.958   -0.0920
1975.042    0.0698
1975.125    0.0660
1975.208    0.1310
1975.292    0.0535
1975.375    0.1561
1975.458   -0.0232
1975.542   -0.0287
1975.625   -0.1982
1975.708   -0.0326
1975.792   -0.0930
1975.875   -0.1589
1975.958   -0.1713
1976.042   -0.0062
1976.125   -0.0622
1976.208   -0.2146
1976.292   -0.0987
1976.375   -0.2313
1976.458   -0.1500
1976.542   -0.1233
1976.625   -0.1838
1976.708   -0.0926
1976.792   -0.2622
1976.875   -0.0590
1976.958    0.0870
1977.042    0.1785
1977.125    0.2021
1977.208    0.2502
1977.292    0.2685
1977.375    0.2960
1977.458    0.2451
1977.542    0.2326
1977.625    0.1883
1977.708    0.0195
1977.792    0.0398
1977.875    0.1961
1977.958    0.0429
1978.042    0.0748
1978.125    0.1373
1978.208    0.2028
1978.292    0.1503
1978.375    0.0648
1978.458   -0.0338
1978.542    0.0662
1978.625   -0.1777
1978.708    0.0469
1978.792   -0.0013
1978.875    0.1597
1978.958    0.1115
1979.042    0.1362
1979.125   -0.0908
1979.208    0.1862
1979.292    0.1208
1979.375    0.0530
1979.458    0.1331
1979.542    0.0230
1979.625    0.1393
1979.708    0.2675
1979.792    0.2522
1979.875    0.2917
1979.958    0.4689
1980.042    0.2976
1980.125    0.4205
1980.208    0.2852
1980.292    0.3156
1980.375    0.3410
1980.458    0.1599
1980.542    0.2811
1980.625    0.2430
1980.708    0.2054
1980.792    0.1946
1980.875    0.2933
1980.958    0.2068
1981.042    0.5551
1981.125    0.4094
1981.208    0.4818
1981.292    0.3101
1981.375    0.2429
1981.458    0.3049
1981.542    0.3435
1981.625    0.3440
1981.708    0.1695
1981.792    0.1318
1981.875    0.2112
1981.958    0.4008
1982.042    0.0859
1982.125    0.1415
1982.208   -0.0162
1982.292    0.0908
1982.375    0.1535
1982.458    0.0438
1982.542    0.1266
1982.625    0.0785
1982.708    0.1495
1982.792    0.1281
1982.875    0.1406
1982.958    0.4243
1983.042    0.5128
1983.125    0.3971
1983.208    0.4208
1983.292    0.3003
1983.375    0.3465
1983.458    0.1715
1983.542    0.1476
1983.625    0.3007
1983.708    0.3815
1983.792    0.1422
1983.875    0.2972
1983.958    0.1630
1984.042    0.2945
1984.125    0.1705
1984.208    0.2816
1984.292    0.0804
1984.375    0.3286
1984.458    0.0394
1984.542    0.1576
1984.625    0.1463
1984.708    0.1903
1984.792    0.1413
1984.875    0.0392
1984.958   -0.0617
1985.042    0.2088
1985.125   -0.0635
1985.208    0.1658
1985.292    0.1076
1985.375    0.1672
1985.458    0.1659
1985.542   -0.0095
1985.625    0.1441
1985.708    0.1408
1985.792    0.1111
1985.875    0.0898
1985.958    0.1453
1986.042    0.2935
1986.125    0.3826
1986.208    0.2885
1986.292    0.2579
1986.375    0.2610
1986.458    0.1164
1986.542    0.1224
1986.625    0.1198
1986.708    0.0115
1986.792    0.1338
1986.875    0.1031
1986.958    0.1568
1987.042    0.3546
1987.125    0.4568
1987.208    0.1624
1987.292    0.2362
1987.375    0.2520
1987.458    0.3517
1987.542    0.4486
1987.625    0.2726
1987.708    0.3896
1987.792    0.3138
