Surface temperature (C)                                 
Doubled CO2
GISS modelE-R used in "Ice Melt" paper
--------------------------------------
Years    Land   Ocean
  767  3.2647  1.9364
  768  3.3307  1.9374
  769  3.3057  1.9451
  770  3.3967  1.9452
  771  3.4777  1.9158
  772  3.3177  1.9520
  773  3.3537  1.8597
  774  3.2617  1.8663
  775  3.1727  1.8862
  776  3.1787  1.8880
  777  3.1957  1.8813
  778  3.1717  1.8220
  779  3.2527  1.8379
  780  3.2707  1.8530
  781  3.2147  1.8198
  782  3.2777  1.8396
  783  3.0557  1.8127
  784  2.9797  1.8420
  785  3.3837  1.8922
  786  3.2027  1.8736
  787  3.0557  1.8533
  788  3.2527  1.8670
  789  3.4337  1.8965
  790  3.3687  1.8721
  791  3.0737  1.8619
  792  3.2797  1.8311
  793  3.1677  1.8668
  794  3.2317  1.8669
  795  3.1877  1.8716
  796  3.4327  1.8858
  797  3.2747  1.8483
  798  3.1377  1.8201
  799  3.2487  1.8541
  800  3.2157  1.8602
  801  3.3257  1.8870
  802  3.2197  1.8445
  803  3.0897  1.8342
  804  3.0457  1.8433
  805  3.0477  1.8569
  806  3.2297  1.8737
  807  3.2607  1.9126
  808  3.2477  1.8547
  809  3.4127  1.8675
  810  3.1907  1.8496
  811  3.2077  1.8176
  812  3.2487  1.8347
  813  3.3007  1.8842
  814  3.3567  1.8800
  815  3.4127  1.9049
  816  3.3827  1.8973
  817  3.4567  1.9393
  818  3.4747  1.9898
  819  3.4037  1.9706
  820  3.4787  1.9138
  821  3.5067  1.8997
  822  3.4777  1.9273
  823  3.2747  1.9248
  824  3.5627  1.9388
  825  3.2727  1.8941
  826  3.4187  1.9167
  827  3.4937  1.9395
  828  3.3667  1.9465
  829  3.1887  1.9584
  830  3.1297  1.9218
  831  3.4947  1.9655
  832  3.3177  1.9450
  833  3.6017  1.9531
  834  3.3607  1.9354
  835  3.2897  1.9289
  836  3.3427  1.9036
  837  3.1147  1.8964
  838  3.2137  1.8667
  839  3.1927  1.8921
  840  3.3917  1.8985
  841  3.2447  1.8851
  842  3.1377  1.8799
  843  3.1807  1.8923
  844  3.1437  1.8808
  845  3.2617  1.8631
  846  3.3847  1.8872
  847  3.2937  1.8715
  848  3.1397  1.9047
  849  3.3167  1.8659
  850  3.2947  1.8591
  851  3.1377  1.8787
  852  3.2767  1.8835
  853  3.3487  1.8775
  854  3.3187  1.8449
  855  3.4777  1.8984
  856  3.3137  1.8967
  857  3.2957  1.9176
  858  3.2637  1.9496
  859  3.3537  1.9476
  860  3.4087  1.9446
  861  3.1907  1.9257
  862  3.3067  1.9354
  863  3.4467  1.9534
  864  3.3977  1.9732
  865  3.3817  1.9467
  866  3.3467  1.9475
  867  3.5997  1.9368
  868  3.4617  1.9617
  869  3.3947  1.9393
  870  3.4527  1.9656
  871  3.2897  1.9855
  872  3.3327  1.9339
  873  3.5267  1.9341
  874  3.4777  1.9534
  875  3.3627  1.9678
  876  3.3797  2.0002
  877  3.4367  1.9914
  878  3.3667  1.9642
  879  3.3497  1.9748
  880  3.1607  1.9280
  881  3.4277  1.9325
  882  3.4057  1.9717
  883  3.3967  1.9666
  884  3.2777  1.9605
  885  3.2407  1.9281
  886  3.3677  1.9602
  887  3.3187  1.9872
  888  3.2927  1.9792
  889  3.4937  1.9887
  890  3.4067  1.9669
  891  3.4447  1.9768
  892  3.3927  1.9235
  893  3.4057  1.9112
  894  3.3917  1.9134
  895  3.3677  1.9257
  896  3.2737  1.9235
  897  3.4557  1.9391
  898  3.5467  1.9359
  899  3.3947  1.9403
  900  3.3137  1.9148
  901  3.2767  1.8898
  902  3.2567  1.9177
  903  3.3947  1.9130
  904  3.3657  1.9337
  905  3.2587  1.9303
  906  3.1697  1.9324
  907  3.4437  1.9461
  908  3.4317  1.9708
  909  3.4387  1.9468
  910  3.1967  1.9468
  911  3.3587  1.9006
  912  3.2957  1.9035
  913  3.1847  1.9123
  914  3.4867  1.9804
  915  3.4257  1.9193
  916  3.2157  1.9298
  917  3.3817  1.9659
  918  3.3327  1.9492
  919  3.3437  1.9742
  920  3.3767  2.0072
  921  3.5237  2.0032
  922  3.5117  1.9486
  923  3.3357  1.9721
  924  3.4047  1.9797
  925  3.5727  1.9612
  926  3.4857  1.9507
  927  3.4407  1.9559
  928  3.2447  1.9737
  929  3.4707  1.9857
  930  3.5137  1.9866
  931  3.5257  1.9950
  932  3.4607  1.9704
  933  3.4917  1.9299
  934  3.2407  1.9089
  935  3.3107  1.9417
  936  3.3687  1.9658
  937  3.2617  1.9357
  938  3.4257  1.9227
  939  3.2637  1.9158
  940  3.1597  1.8964
  941  3.3847  1.9276
  942  3.3187  1.9435
  943  3.4047  1.9434
  944  3.4707  1.9726
  945  3.2497  1.9695
  946  3.1687  1.9521
  947  3.4457  1.9744
  948  3.3687  1.9331
  949  3.3117  1.9506
  950  3.2567  1.9136
  951  3.2257  1.9191
  952  3.2607  1.9313
  953  3.3587  1.9669
  954  3.2397  1.9453
  955  3.4467  1.9362
  956  3.3987  1.9750
  957  3.5277  2.0007
  958  3.3247  1.9768
  959  3.5087  1.9794
  960  3.4417  1.9918
  961  3.3477  1.9866
  962  3.2737  1.9846
  963  3.3387  1.9745
  964  3.3897  2.0060
  965  3.3707  2.0042
  966  3.3787  2.0242
  967  3.3927  1.9837
  968  3.4247  1.9644
  969  3.3907  1.9288
  970  3.4267  1.9261
  971  3.1967  1.9530
  972  3.4787  1.9358
  973  3.4317  1.9344
  974  3.3817  1.9005
  975  3.3787  1.9347
  976  3.2957  1.9415
  977  3.2897  1.8804
  978  3.1477  1.8757
  979  3.2107  1.9022
  980  3.2107  1.9045
  981  3.3427  1.9581
  982  3.4207  1.9345
  983  3.2897  1.9069
  984  3.2997  1.9278
  985  3.5957  1.9770
  986  3.3487  1.9458
  987  3.5227  1.9237
  988  3.4907  1.9375
  989  3.3957  1.9462
  990  3.4567  1.9492
  991  3.5207  1.9826
  992  3.5157  1.9956
  993  3.4367  1.9847
  994  3.3167  1.9337
  995  3.3037  1.9917
  996  3.3857  1.9792
  997  3.5867  1.9662
  998  3.1227  1.9296
  999  3.1157  1.9977
 1000  3.4077  2.0246
--------------------------------------
