Net forcing woth CO2 extraction         
-------------------------------------------
year   +2%    con450  con350   -3%     -6%
2049  2.6161  2.5538  2.3366  2.1898  1.9931
2050  2.5917  2.5264  2.2954  2.1436  1.9418
2051  2.5667  2.4983  2.2531  2.0965  1.8897
2052  2.5435  2.4714  2.2116  2.0505  1.8391
2053  2.5525  2.4763  2.2016  2.0361  1.8205
2054  2.6228  2.5420  2.2519  2.0824  1.8628
2055  2.6913  2.6055  2.2996  2.1262  1.9029
2056  2.7608  2.6693  2.3472  2.1702  1.9437
2057  2.7729  2.6752  2.3366  2.1563  1.9268
2058  2.7853  2.6808  2.3253  2.1420  1.9098
2059  2.7612  2.6493  2.2765  2.0904  1.8558
2060  1.6319  1.5119  1.1214  0.9329  0.6962
2061  1.0869  0.9581  0.5495  0.3589  0.1204
2062  2.1016  1.9633  1.5364  1.3438  1.1039
2063  2.4836  2.3350  1.8891  1.6951  1.4541
2064  2.4768  2.3171  1.8519  1.6567  1.4149
2065  2.6242  2.4526  1.9679  1.7718  1.5294
2066  2.7618  2.5774  2.0726  1.8761  1.6335
2067  2.8687  2.6707  2.1454  1.9488  1.7063
2068  2.9283  2.7157  2.1696  1.9732  1.7310
2069  2.9455  2.7173  2.1500  1.9542  1.7127
2070  2.9280  2.6832  2.0942  1.8995  1.6588
2071  2.9062  2.6471  2.0361  1.8427  1.6033
2072  2.8814  2.6097  1.9763  1.7847  1.5468
2073  2.8564  2.5738  1.9177  1.7282  1.4920
2074  2.8283  2.5367  1.8572  1.6704  1.4363
2075  2.8320  2.5329  1.8298  1.6459  1.4141
2076  2.8932  2.5882  1.8610  1.6805  1.4513
2077  2.9540  2.6444  1.8927  1.7161  1.4897
2078  3.0125  2.6998  1.9233  1.7509  1.5276
2079  3.0101  2.6958  1.8939  1.7263  1.5063
2080  3.0059  2.6913  1.8637  1.7012  1.4847
2081  2.9618  2.6481  1.7944  1.6375  1.4249
2082  2.9148  2.6036  1.7232  1.5724  1.3638
2083  2.8653  2.5578  1.6504  1.5061  1.3018
2084  2.8163  2.5137  1.5789  1.4415  1.2418
2085  2.7635  2.4671  1.5044  1.3746  1.1796
2086  2.7459  2.4570  1.4660  1.3441  1.1541
2087  2.7844  2.5042  1.4844  1.3709  1.1861
2088  2.8232  2.5529  1.5040  1.3993  1.2200
2089  2.8582  2.5990  1.5204  1.4252  1.2514
2090  1.6964  1.4495  0.3408  0.2555  0.0876
2091  0.1203 -0.1130 -1.2523 -1.3272 -1.4891
2092  1.7159  1.4972  0.3269  0.2628  0.1072
2093  2.3179  2.1151  0.9134  0.8608  0.7116
2094  2.4874  2.3017  1.0680  1.0274  0.8849
2095  2.4904  2.3229  1.0569  1.0287  0.8931
2096  2.4500  2.3020  1.0030  0.9879  0.8593
2097  2.4684  2.3410  1.0087  1.0071  0.8857
2098  2.4533  2.3476  0.9815  0.9940  0.8800
2099  2.4724  2.3897  0.9892  1.0165  0.9100
2100  2.4898  2.4311  0.9959  1.0383  0.9397
2101  2.5788  2.5788  1.1150  1.1150  1.1150
2102  2.5792  2.5792  1.1154  1.1154  1.1154
2103  2.5303  2.5303  1.0665  1.0665  1.0665
2104  2.5015  2.5015  1.0377  1.0377  1.0377
2105  2.4433  2.4433  0.9795  0.9795  0.9795
2106  2.3986  2.3986  0.9348  0.9348  0.9348
2107  2.3522  2.3522  0.8884  0.8884  0.8884
2108  2.3651  2.3651  0.9013  0.9013  0.9013
2109  2.4031  2.4031  0.9393  0.9393  0.9393
2110  2.4871  2.4871  1.0233  1.0233  1.0233
2111  2.5140  2.5140  1.0502  1.0502  1.0502
2112  2.5426  2.5426  1.0788  1.0788  1.0788
2113  2.5273  2.5273  1.0635  1.0635  1.0635
2114  2.4924  2.4924  1.0286  1.0286  1.0286
2115  2.4573  2.4573  0.9935  0.9935  0.9935
2116  2.4223  2.4223  0.9585  0.9585  0.9585
2117  2.3874  2.3874  0.9236  0.9236  0.9236
2118  2.3523  2.3523  0.8885  0.8885  0.8885
2119  2.3523  2.3523  0.8885  0.8885  0.8885
2120  2.4106  2.4106  0.9468  0.9468  0.9468
2121  2.4691  2.4691  1.0053  1.0053  1.0053
2122  2.5273  2.5273  1.0635  1.0635  1.0635
2123  2.5273  2.5273  1.0635  1.0635  1.0635
2124  2.5273  2.5273  1.0635  1.0635  1.0635
2125  2.4924  2.4924  1.0286  1.0286  1.0286
2126  2.4573  2.4573  0.9935  0.9935  0.9935
2127  2.4223  2.4223  0.9585  0.9585  0.9585
2128  2.3874  2.3874  0.9236  0.9236  0.9236
2129  2.3523  2.3523  0.8885  0.8885  0.8885
2130  1.3951  1.3951 -0.0687 -0.0687 -0.0687
2131  0.8617  0.8617 -0.6021 -0.6021 -0.6021
2132  1.5759  1.5759  0.1121  0.1121  0.1121
2133  2.0929  2.0929  0.6291  0.6291  0.6291
2134  2.2938  2.2938  0.8300  0.8300  0.8300
2135  1.9969  1.9969  0.5331  0.5331  0.5331
2136  1.8012  1.8012  0.3374  0.3374  0.3374
2137  2.1763  2.1763  0.7125  0.7125  0.7125
2138  2.4223  2.4223  0.9585  0.9585  0.9585
2139  2.3874  2.3874  0.9236  0.9236  0.9236
2140  2.3523  2.3523  0.8885  0.8885  0.8885
2141  2.3523  2.3523  0.8885  0.8885  0.8885
2142  2.4106  2.4106  0.9468  0.9468  0.9468
2143  2.4691  2.4691  1.0053  1.0053  1.0053
2144  2.5273  2.5273  1.0635  1.0635  1.0635
2145  2.5273  2.5273  1.0635  1.0635  1.0635
2146  2.5273  2.5273  1.0635  1.0635  1.0635
2147  2.4924  2.4924  1.0286  1.0286  1.0286
2148  2.4573  2.4573  0.9935  0.9935  0.9935
2149  2.4223  2.4223  0.9585  0.9585  0.9585
2150  2.3874  2.3874  0.9236  0.9236  0.9236
2151  2.3523  2.3523  0.8885  0.8885  0.8885
2152  2.3523  2.3523  0.8885  0.8885  0.8885
2153  2.4106  2.4106  0.9468  0.9468  0.9468
2154  2.4691  2.4691  1.0053  1.0053  1.0053
2155  2.5273  2.5273  1.0635  1.0635  1.0635
2156  2.5273  2.5273  1.0635  1.0635  1.0635
2157  2.5273  2.5273  1.0635  1.0635  1.0635
2158  2.4924  2.4924  1.0286  1.0286  1.0286
2159  2.4573  2.4573  0.9935  0.9935  0.9935
2160  1.3142  1.3142 -0.1496 -0.1496 -0.1496
2161  0.7568  0.7568 -0.7070 -0.7070 -0.7070
2162  1.7587  1.7587  0.2949  0.2949  0.2949
2163  2.1617  2.1617  0.6979  0.6979  0.6979
2164  2.1986  2.1986  0.7348  0.7348  0.7348
2165  2.3314  2.3314  0.8676  0.8676  0.8676
2166  2.4523  2.4523  0.9885  0.9885  0.9885
2167  2.4860  2.4860  1.0222  1.0222  1.0222
2168  2.5273  2.5273  1.0635  1.0635  1.0635
2169  2.4924  2.4924  1.0286  1.0286  1.0286
2170  2.4573  2.4573  0.9935  0.9935  0.9935
2171  2.4223  2.4223  0.9585  0.9585  0.9585
2172  2.3874  2.3874  0.9236  0.9236  0.9236
2173  2.3523  2.3523  0.8885  0.8885  0.8885
2174  2.3523  2.3523  0.8885  0.8885  0.8885
2175  2.4106  2.4106  0.9468  0.9468  0.9468
2176  2.4691  2.4691  1.0053  1.0053  1.0053
2177  2.5273  2.5273  1.0635  1.0635  1.0635
2178  2.5273  2.5273  1.0635  1.0635  1.0635
2179  2.5273  2.5273  1.0635  1.0635  1.0635
2180  2.4924  2.4924  1.0286  1.0286  1.0286
2181  2.4573  2.4573  0.9935  0.9935  0.9935
2182  2.4223  2.4223  0.9585  0.9585  0.9585
2183  2.3874  2.3874  0.9236  0.9236  0.9236
2184  2.3523  2.3523  0.8885  0.8885  0.8885
2185  2.3523  2.3523  0.8885  0.8885  0.8885
2186  2.4106  2.4106  0.9468  0.9468  0.9468
2187  2.4691  2.4691  1.0053  1.0053  1.0053
2188  2.5273  2.5273  1.0635  1.0635  1.0635
2189  2.5273  2.5273  1.0635  1.0635  1.0635
2190  1.3872  1.3872 -0.0766 -0.0766 -0.0766
2191 -0.1939 -0.1939 -1.6577 -1.6577 -1.6577
2192  1.4303  1.4303 -0.0335 -0.0335 -0.0335
2193  2.0635  2.0635  0.5997  0.5997  0.5997
2194  2.2657  2.2657  0.8019  0.8019  0.8019
2195  2.3028  2.3028  0.8390  0.8390  0.8390
2196  2.3323  2.3323  0.8685  0.8685  0.8685
2197  2.4462  2.4462  0.9824  0.9824  0.9824
2198  2.4691  2.4691  1.0053  1.0053  1.0053
2199  2.5273  2.5273  1.0635  1.0635  1.0635
2200  2.5273  2.5273  1.0635  1.0635  1.0635
-------------------------------------------
